ticker,start_date,end_date
IBOC,2012-12-01,
ICUI,2018-05-01,2023-12-01
IDA,2012-12-01,
IDCC,2013-12-01,2021-05-01
IDCC,2026-04-01,
IDTI,2012-12-01,2019-10-01
IDXX,2012-12-01,2017-02-01
IESC,2026-08-01,
IEX,2012-12-01,2019-10-01
IIVI,2019-11-01,2022-10-01
ILG,2017-10-01,2018-10-01
ILMN,2024-07-01,
IM,2012-12-01,2017-01-01
INCR,2017-05-01,2018-05-01
INFA,2012-12-01,2017-01-01
INGR,2013-12-01,
INT,2013-12-01,2021-09-01
IPGP,2015-06-01,2018-04-01
IPGP,2022-07-01,
IPI,2012-12-01,2015-06-01
IRDM,2021-05-01,2026-02-01
IRF,2012-12-01,2015-06-01
IRT,2022-06-01,
ISCA,2012-12-01,2019-11-01
ISCA,2020-11-01,2021-01-01
ISIL,2012-12-01,2017-03-01
IT,2012-12-01,2017-05-01
ITRI,2012-12-01,2017-01-01
ITT,2013-09-01,
JACK,2016-12-01,2022-03-01
JAH,2013-09-01,2017-01-01
JAZZ,2021-03-01,
JBGS,2017-08-01,2023-04-01
JBHT,2012-12-01,2017-01-01
JBL,2015-06-01,2024-01-01
JBLU,2012-12-01,2023-11-01
JCG,2012-12-01,2013-09-01
JCOM,2017-01-01,2021-11-01
JCP,2015-06-01,2017-07-01
JDSU,2015-06-01,2017-01-01
JEF,2012-12-01,2013-09-01
JEF,2019-11-01,
JHG,2017-07-01,2026-08-01
JKHY,2012-12-01,2019-10-01
JLL,2012-12-01,
JNS,2013-09-01,2017-07-01
JOY,2017-01-01,2017-05-01
JOYG,2012-12-01,2013-09-01
JW.A,2015-06-01,2023-01-01
JWA,2012-12-01,2013-09-01
JWA,2013-12-01,2015-06-01
JWN,2021-01-01,2025-06-01
KAR,2019-11-01,2022-01-01
KATE,2015-06-01,2017-08-01
KBH,2012-12-01,
KBR,2012-12-01,
KCI,2012-12-01,2013-09-01
KD,2021-12-01,
KEX,2012-12-01,
KEYS,2015-06-01,2018-12-01
KFY,2012-12-01,2013-09-01
KLXI,2015-06-01,2018-10-01
KMPR,2013-09-01,2026-04-01
KMT,2012-12-01,2023-04-01
KN,2015-06-01,2018-06-01
KND,2012-12-01,2013-09-01
KNF,2023-08-01,
KNSL,2021-03-01,
KNX,2017-08-01,
KRC,2013-09-01,
KRG,2021-11-01,
KRYS,2026-08-01,
KSS,2021-03-01,2023-11-01
KSU,2012-12-01,2013-09-01
KTOS,2025-11-01,
KWK,2012-12-01,2013-09-01
LAD,2021-03-01,
LAMR,2012-12-01,
LANC,2012-12-01,2025-09-01
LDOS,2013-12-01,2019-10-01
LEA,2020-11-01,
LECO,2012-12-01,
LEG,2022-01-01,2024-07-01
LFUS,2017-01-01,
LGND,2018-12-01,2021-10-01
LHCG,2020-12-01,2023-03-01
LHO,2015-06-01,2019-10-01
LII,2012-12-01,2025-01-01
LITE,2018-05-01,2026-04-01
LIVN,2017-01-01,
LKQ,2013-12-01,2017-01-01
LKQX,2012-12-01,2013-09-01
LM,2017-01-01,2021-01-01
LNCE,2017-01-01,2018-05-01
LNCR,2012-12-01,2013-09-01
LNT,2012-12-01,2017-01-01
LNTH,2022-11-01,
LNW,2022-05-01,2025-12-01
LOGM,2017-03-01,2020-12-01
LOPE,2020-11-01,
LPNT,2012-12-01,2019-10-01
LPS,2012-12-01,2015-06-01
LPT,2015-06-01,2020-12-01
LPX,2012-12-01,
LRCX,2012-12-01,2013-09-01
LRY,2012-12-01,2015-06-01
LSCC,2021-05-01,
LSI,2017-01-01,2023-09-01
LSTR,2012-12-01,
